instance, time, obj, bounds, iter23, iter24, chemin
180_USA-road-d.COL.gr,63.631486892700195,33704.64,33704.64,2,4,30/ 48/ 49/ 53/ 56/ 63/ 83/ 92/ 93/ 97/ 159/ 161/ 176
750_USA-road-d.NY.gr,101.00324988365173,43624.92,43624.92,2,4,84/ 226/ 239/ 268/ 280/ 388/ 414/ 443/ 478/ 555/ 578/ 581/ 619/ 620/ 621/ 640/ 691/ 696/ 707
1300_USA-road-d.COL.gr,141.22359085083008,42505.7,42505.7,4,3,88/ 172/ 188/ 189/ 245/ 479/ 529/ 534/ 564/ 747/ 793/ 828/ 1053/ 1114/ 1238
180_USA-road-d.NY.gr,87.3828399181366,30750.74,30750.74,2,3,2/ 3/ 42/ 51/ 73/ 89/ 91/ 110/ 120/ 122/ 154/ 157/ 161/ 179
1300_USA-road-d.NY.gr,125.40821599960327,67883.94,67883.94,2,2,240/ 326/ 392/ 507/ 617/ 646/ 691/ 694/ 697/ 722/ 866/ 916/ 923/ 959/ 1070/ 1117/ 1144/ 1171/ 1223/ 1235/ 1243/ 1271/ 1278/ 1296
800_USA-road-d.BAY.gr,337.10376620292664,40198.439999999995,40198.439999999995,2,6,60/ 109/ 278/ 286/ 355/ 358/ 445/ 586/ 588/ 633/ 642/ 686/ 765/ 766/ 796
2500_USA-road-d.COL.gr,576.7189831733704,48427.8,48427.8,4,2,88/ 228/ 479/ 701/ 747/ 1522/ 1559/ 1621/ 1634/ 1683/ 1700/ 1898/ 2032/ 2067/ 2088/ 2225/ 2401/ 2402/ 2432/ 2474
800_USA-road-d.COL.gr,775.6715281009674,35374.16,35374.16,0,3,9/ 25/ 39/ 60/ 83/ 113/ 140/ 161/ 192/ 389/ 476/ 741/ 792
1400_USA-road-d.BAY.gr,748.357901096344,76925.42,76925.42,4,3,330/ 405/ 760/ 861/ 936/ 939/ 946/ 995/ 1065/ 1084/ 1093/ 1115/ 1116/ 1127/ 1152/ 1161/ 1177/ 1237/ 1286/ 1288/ 1293/ 1323/ 1332/ 1338/ 1363/ 1367
1900_USA-road-d.BAY.gr,1041.4446771144867,76729.59,76262.46999999997,8,4,334/ 424/ 457/ 510/ 731/ 900/ 938/ 1065/ 1084/ 1153/ 1158/ 1265/ 1301/ 1302/ 1459/ 1497/ 1572/ 1580/ 1641/ 1674/ 1679/ 1727/ 1792/ 1834
800_USA-road-d.NY.gr,115.79061102867126,43624.92,43624.92,2,5,84/ 187/ 239/ 256/ 268/ 323/ 360/ 396/ 414/ 444/ 478/ 535/ 620/ 621/ 641/ 707/ 709/ 712/ 758
80_USA-road-d.BAY.gr,0.11706304550170898,10857.060000000001,10857.060000000001,2,1,25/ 30/ 44/ 48/ 59/ 66/ 74
80_USA-road-d.COL.gr,0.0989990234375,14277.490000000002,14277.490000000002,2,1,12/ 14/ 16/ 46/ 69/ 71/ 76/ 78
80_USA-road-d.NY.gr,14.963041067123413,31775.839999999997,31775.839999999997,2,3,15/ 38/ 39/ 46/ 56/ 59/ 68
1400_USA-road-d.COL.gr,218.70685482025146,42505.7,42505.7,4,3,88/ 293/ 360/ 362/ 448/ 471/ 529/ 554/ 612/ 834/ 945/ 1050/ 1053/ 1232/ 1237
2500_USA-road-d.NY.gr,440.59270095825195,71974.35,71974.35,12,2,1296/ 1512/ 1570/ 1638/ 1673/ 1746/ 1792/ 1856/ 1969/ 1973/ 2029/ 2104/ 2112/ 2278/ 2317/ 2358/ 2373/ 2374/ 2382/ 2385/ 2414/ 2434/ 2463
250_USA-road-d.BAY.gr,0.9089179039001465,19247.97,19247.97,0,1,92/ 105/ 118/ 127/ 133/ 136/ 159/ 184/ 194/ 224
250_USA-road-d.COL.gr,42.83413290977478,32794.270000000004,32794.270000000004,0,10,10/ 25/ 38/ 45/ 46/ 83/ 113/ 130/ 145/ 149/ 161/ 189/ 192
